Title,Title_proedure,Opisanie_procedur,Ceny
Konsultacje,Lifting – Nowość,EyePico Powieki dolne,od 1000 zł
Konsultacje,Lifting – Nowość,Pojedyncza blizna,od 500  zł
Konsultacje,Lifting – Nowość,Twarz,od 800 zł
Konsultacje,Lifting – Nowość,Brzuch,od 900 zł
Konsultacje,Lifting – Nowość,Twarz,od 1000 zł
Konsultacje,Lifting – Nowość,Dekolt,od 1000 zł
Konsultacje,Lifting – Nowość,Dłonie,od 800 zł
Konsultacje,Lifting – Nowość,Pojedyncza zmiana barwnikowa do 1 cm 2 - 1 zabieg,od 400 zł
Konsultacje,Lifting – Nowość,Melasma mała: powierzchnia do 16 cm 2 - 1 zabieg,od 800 zł
Konsultacje,Lifting – Nowość,Melasma duża: powierzchnia do 32 cm 2 - 1 zabieg,od 1360 zł
Konsultacje,Lifting – Nowość,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Lifting – Nowość,Twarz,od 800 zł
Konsultacje,Lifting – Nowość,Plecy,od 1100 zł
Konsultacje,Lifting – Nowość,Brzuch,od 1000 zł
Konsultacje,Lifting – Nowość,Pośladki,od 800 zł
Konsultacje,Lifting – Nowość,Twarz,od 800 zł
Konsultacje,Lifting – Nowość,Szyja,od 800 zł
Konsultacje,Lifting – Nowość,Dekolt,od 1000 zł
Konsultacje,Lifting – Nowość,Dłonie,od 800 zł
Konsultacje,Lifting – Nowość,Twarz – pojedynczy zabieg,od 800 zł
Konsultacje,Lifting – Nowość,Twarz – pakiet 2 zabiegów,od 1400 zł
Konsultacje,Lifting – Nowość,Nogi – pojedynczy zabieg,od 900 zł
Konsultacje,Lifting – Nowość,Nogi – pakiet 3 zabiegów,od 2200 zł
Konsultacje,Lifting – Nowość,Brwi - 1 zabieg,od 600 zł
Konsultacje,Lifting – Nowość,Kreski dolne/kreski górne - 1 zabieg,od 900 zł
Konsultacje,Lifting – Nowość,PAKIET: Kreski dolne oraz kreski górne - 1 zabieg,od 1500 zł
Konsultacje,Lifting – Nowość,Usta - 1 zabieg,od 900 zł
Konsultacje,Lifting – Nowość,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Lifting – Nowość,Tatuaż bardzo mały do 4 cm 2 - 1 zabieg,od 550 zł
Konsultacje,Lifting – Nowość,Tatuaż mały do 25 cm 2 - 1 zabieg,od 900 zł
Konsultacje,Lifting – Nowość,Tatuaż średni do 150 cm 2 - 1 zabieg,od 1300 zł
Konsultacje,Lifting – Nowość,Tatuaż średni większy do 300 cm 2 - 1 zabieg,od 2000 zł
Konsultacje,Lifting – Nowość,Tatuaż duży do 600 cm 2 - 1 zabieg,od 2750 zł
Konsultacje,Lifting – Nowość,Tatuaż bardzo duży powyżej 600 cm 2  - 1 zabieg,od 3500 zł
Konsultacje,Lifting – Nowość,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Lifting – Nowość,Tatuaż bardzo mały do 4 cm 2 - 1 zabieg,od 600 zł
Konsultacje,Lifting – Nowość,Tatuaż mały do 25 cm 2 - 1 zabieg,od 1000 zł
Konsultacje,Lifting – Nowość,Tatuaż średni do 150 cm 2 - 1 zabieg,od 1450 zł
Konsultacje,Lifting – Nowość,Tatuaż średni większy do 300 cm 2 - 1 zabieg,od 2200 zł
Konsultacje,Lifting – Nowość,Tatuaż duży do 600 cm 2 - 1 zabieg,od 3000 zł
Konsultacje,Lifting – Nowość,Tatuaż bardzo duży powyżej 600 cm 2 - 1 zabieg,od 3800 zł
Konsultacje,Lifting – Nowość,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Zabieg plastyki  krótkiego wędzidełka,,od 800 zł
Konsultacje,Zabieg plastyki  krótkiego wędzidełka,,od 1400 zł
Konsultacje,Zabieg plastyki  krótkiego wędzidełka,,150 zł
Konsultacje,Powiększanie penisa autologicznym przeszczepem tłuszczu wzbogacanym o osocze bogatopłytkowe - do 30 ml tłuszczu,,3500 zł
Konsultacje,Powiększanie penisa autologicznym przeszczepem tłuszczu wzbogacanym o osocze bogatopłytkowe - do 30 ml tłuszczu,,4500 zł
Konsultacje,Powiększanie penisa autologicznym przeszczepem tłuszczu wzbogacanym o osocze bogatopłytkowe - do 30 ml tłuszczu,,6000 zł
Konsultacje,Powiększanie penisa autologicznym przeszczepem tłuszczu wzbogacanym o osocze bogatopłytkowe - do 30 ml tłuszczu,,8000 zł
Konsultacje,Powiększanie penisa autologicznym przeszczepem tłuszczu wzbogacanym o osocze bogatopłytkowe - do 30 ml tłuszczu,,10000 zł
Konsultacje,Powiększanie penisa autologicznym przeszczepem tłuszczu wzbogacanym o osocze bogatopłytkowe - do 30 ml tłuszczu,,2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,kwasem hialuronowym,od 2300 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,Nawilżanie i rewitalizacja pochwy ze zwężeniem (waginoplastka) kwasem hialuronowym,od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Wypełnianie punktu G  Komplet wypełniania warg sromowych większych, uwydatnienie punktu “G” oraz tylnej ściany pochwy- 4800 zł Każdy dodatkowy obszar z zakresu lipotransferu (dotyczy: tylna ściana pochwy, przednia ściana pochwy, przedsionek pochwy, punkt G)- 400 zł",od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Każdy dodatkowy obszar z zakresu lipotransferu (dotyczy: tylna ściana pochwy, przednia ściana pochwy, przedsionek pochwy, punkt G)- 400 zł",od 1200 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Każdy dodatkowy obszar z zakresu lipotransferu (dotyczy: tylna ściana pochwy, przednia ściana pochwy, przedsionek pochwy, punkt G)- 400 zł",od 1200 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Każdy dodatkowy obszar z zakresu lipotransferu (dotyczy: tylna ściana pochwy, przednia ściana pochwy, przedsionek pochwy, punkt G)- 400 zł",od 1200 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Zwężenie tylnej ściany pochwy Komplet wypełniania warg sromowych większych, uwydatnienie punktu “G” oraz tylnej ściany pochwy- 4800 zł Każdy dodatkowy obszar z zakresu lipotransferu (dotyczy: tylna ściana pochwy, przednia ściana pochwy, przedsionek pochwy, punkt G)- 400 zł",od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Komplet wypełniania warg sromowych większych, uwydatnienie punktu “G” oraz tylnej ściany pochwy- 4800 zł",od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,Odsłonięcie napletka łechtaczki (cięcie laserowe),od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 3200 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Komplet wypełniania warg sromowych większych, uwydatnienie punktu “G” oraz tylnej ściany pochwy- 4800 zł",od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 2800 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,"Labioplastyka z przeszczepem tłuszczu do warg sromowych większych- 4500 zł Komplet wypełniania warg sromowych większych, uwydatnienie punktu “G” oraz tylnej ściany pochwy- 4800 zł",od 2500 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 900 zł
Konsultacje,Zwężanie pochwy kwasem hialuronowym,,od 900 zł
Konsultacje,Epilacja laserowa twarz,Górna warga - 1 zabieg,260 zł   ̶3̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Górna warga - pakiet 4 zabiegi,700 zł   ̶1̶4̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Broda / baki - 1 zabieg,260 zł   ̶3̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Broda / baki - pakiet 4 zabiegi,700 zł   ̶1̶4̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Szyja / policzki - 1 zabieg,410 zł   ̶5̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Szyja / policzki - pakiet 4 zabiegi,1 100 zł     ̶ ̶2̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Okolica między brwiami - 1 zabieg,150 zł        ̶ ̶ ̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Okolica między brwiami - pakiet 4 zabiegi,400 zł     ̶ ̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Uszy - 1 zabieg,150 zł       ̶ ̶ ̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Uszy - pakiet 4 zabiegi,400 zł         ̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Pachy - 1 zabieg,380 zł  ̶5̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Pachy - pakiet 4 zabiegi,1000 zł   ̶2̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Kark - 1 zabieg,380 zł  ̶5̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Kark - pakiet 4 zabiegi,1000 zł   ̶2̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Brzuch - 1 zabieg,560 zł   ̶7̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Brzuch - pakiet 4 zabiegi,1500 zł   ̶3̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Tors - 1 zabieg,560 zł   ̶7̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Tors - pakiet 4 zabiegi,1500 zł   ̶3̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Plecy - 1 zabieg,530 zł   ̶7̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Plecy - pakiet 4 zabiegi,1400 zł   ̶2̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Plecy męskie - 1 zabieg,640 zł    ̶8̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Plecy męskie - pakiet 4 zabiegi,1700 zł  ̶3̶4̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Okolica brodawek - 1 zabieg,260 zł  ̶3̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Okolica brodawek - pakiet 4 zabiegi,700 zł   ̶1̶4̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,"Bikini (pachwiny, wzgórek łonowy) - 1 zabieg",410 zł   ̶5̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,"Bikini (pachwiny, wzgórek łonowy) - pakiet 4 zabiegi",1100 zł   ̶2̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,"Bikini pełne (pachwiny, wzgórek, wargi sromowe) - 1 zabieg",450 zł   ̶6̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,"Bikini pełne (pachwiny, wzgórek, wargi sromowe) - pakiet 4 zabiegi",1200 zł   ̶2̶4̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Bikini brazylijskie - 1 zabieg,600 zł  ̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Bikini brazylijskie - pakiet 4 zabiegi,1600 zł   ̶3̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Bikini męskie - 1 zabieg,680 zł   ̶9̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Bikini męskie - pakiet 4 zabiegi,1800 zł   ̶3̶6̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Pośladki - 1 zabieg,410 zł   ̶5̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Pośladki - pakiet 4 zabiegi,1100 zł   ̶2̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Linia biała - 1 zabieg,380 zł   ̶5̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Linia biała - pakiet 4 zabiegi,1000 zł   ̶2̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Kolana - 1 zabieg,340 zł   ̶4̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Kolana - pakiet 4 zabiegi,900 zł   ̶1̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Łydki - 1 zabieg,560 zł   ̶7̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Łydki - pakiet 4 zabiegi,1500 zł   ̶3̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Uda - 1 zabieg,790 zł   ̶1̶0̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Uda - pakiet 4 zabiegi,2100 zł   ̶4̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Uda 1/2 - 1 zabieg,560 zł   ̶7̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Uda 1/2 - pakiet 4 zabiegi,1500 zł   ̶3̶0̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Całe nogi ( uda + łydki + kolana) - 1 zabieg,850 zł   ̶1̶7̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Całe nogi ( uda + łydki + kolana) - pakiet 4 zabiegi,3400 zł   ̶6̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Palce u stóp - 1 zabieg,150 zł   ̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Palce u stóp - pakiet 4 zabiegi,400 zł   ̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Ramiona - 1 zabieg,410 zł   ̶5̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Ramiona - pakiet 4 zabiegi,1100 zł   ̶2̶2̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Przedramiona - 1 zabieg,340 zł   ̶4̶5̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Przedramiona - pakiet 4 zabiegi,900 zł   ̶1̶8̶0̶0̶ ̶z̶ł̶
Konsultacje,Epilacja laserowa twarz,Krem znieczulający do zabiegu (5 ml),100 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),1 zabieg,140 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),6 zabiegów,780 zł (130 zł /zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),10 zabiegów,1200 zł (120 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),1 zabieg,210 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),6 zabiegów,1140 zł (190 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),10 zabiegów,1800 zł (190 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),1 zabieg,270 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),3 zabiegi,750 zł (250 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),6 zabiegów,1500 zł (250 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),10 zabiegów,2400 zł(240 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),1 zabieg,310 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),3 zabiegi,900 zł (300 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),6 zabiegów,1680 zł (280 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),10 zabiegów,2700 zł(270 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),1 zabieg,200 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),3 zabiegi,600 zł (200 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),6 zabiegów,1080 zł (180 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),1 zabieg,140 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),3 zabiegi,405 zł (135 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),6 zabiegów,780 zł(130 zł/zabieg)
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Twarz + okolica oczu,1200 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Twarz + Szyja,1700 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Twarz + Szyja + dekolt,1900 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Szyja,1050 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Dekolt,1150 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Zmarszczki palacza,700 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Okolice ust (bruzdy),700 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Okolice oczu,700 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),"Ramiona (pelikany, rozstępy)",1200 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Dłonie,1150 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Okolica nad lub pod kolanami (rozstępy),1000 zł -1250 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Brzuch (rozstępy),1000 zł -1250 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Pośladki (rozstępy),1100 zł -1250 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Uda (wew lub zew strona),1000 zł -1500 zł
Konsultacje,LPG ALLIANCE Kostium Endermowear do zabiegu 80 zł (przy serii 10 zabiegów GRATIS),Blizny potrądzikowe twarz,1300 zł
